sku,name,groupId,unitCost,sellingPrice,minStock,description,imageUrl,vendorCode,itemVendorCode,buyPrice,buyCurrency
3238FIL,WASHABLE FABRIC FILTER FOR 3238W,Sparepart-vacuum-cleaner,"124,600","174,440",2,,,JJIKAE,3238FIL,7,USD
3239FIL,WASHABLE FABRIC FILTER FOR 3239W/3539W,Sparepart-vacuum-cleaner,"115,700","161,980",2,,,JJIKAE,3239FIL,6.5,USD
3238CART,WASHABLE FILTER CARTRIDGE FOR 3238W/3239W/3539W,Sparepart-vacuum-cleaner,"133,500","186,900",2,,,JJIKAE,3238CART,7.5,USD
3596MANZ,MASTER NOZZLE FOR 3596D,Sparepart-vacuum-cleaner,"69,420","97,188",2,,,JJIKAE,3596MANZ,3.9,USD
3238INL,BODY INLET(SUCTION COUPLER),Sparepart-vacuum-cleaner,"201,140","281,596",2,,,JJIKAE,3238INL,11.3,USD
3596STK,SUCTION PIPE (2PCS/SET) FOR 3596D,Sparepart-vacuum-cleaner,"128,160","179,424",2,,,JJIKAE,3596STK,7.2,USD
RS-25VCMT,upright vacuum motor,Sparepart-vacuum-cleaner,"133,500","186,900",2,,,STL,RS-25VCMT,7.5,USD
RS-25ROLB,upright vacuum roller brush,Sparepart-vacuum-cleaner,"44,500","62,300",2,,,STL,RS-25ROLB,2.5,USD
RS-25HOS,upright vacuum FLEXIBLE HOSE,Sparepart-vacuum-cleaner,"8,900","12,460",2,,,STL,RS-25HOS,0.5,USD
RS-25VBLT,upright vacuum belt,Sparepart-vacuum-cleaner,"17,800","24,920",2,,,STL,RS-25VBLT,1,USD
RS-25BERG,carpet washer BEARING,Sparepart-vacuum-cleaner,"8,900","12,460",2,,,STL,RS-25BERG,0.5,USD
RS-25CRPB,carpet washer ROLLER BRUSH,Sparepart-vacuum-cleaner,"115,700","161,980",2,,,STL,RS-25CRPB,6.5,USD
RS-25SWIC,carpet washer switch,Sparepart-vacuum-cleaner,"8,900","12,460",2,,,STL,RS-25SWIC,0.5,USD
SK13023 GEAR,carpet washer GEAR SET For SK13023,Sparepart-vacuum-cleaner,"8,900","12,460",2,,,STL,SK13023 GEAR,0.5,USD
CH15WHOS,"15, 30LTR WHEEL HOUSE",Sparepart-vacuum-cleaner,890,"1,246",2,,,STL,CH15WHOS,0.05,USD
CB60SERU,Single edge rubber 30ltr UP,Sparepart-vacuum-cleaner,17800,"24,920",2,,,STL,CB60SERU,1,USD
CH30,filter For AS30,Sparepart-vacuum-cleaner,"53,400","74,760",2,,,STL,CH30,3,USD
119436-29,Carbon brush For Ametek Motor,Sparepart-vacuum-cleaner,"142,400","199,360",2,,,STL,119436-29,8,USD
CH60,SUCTION PIPE For 30ltr UP,Sparepart-vacuum-cleaner,"76,540","107,156",2,,,STL,CH60,4.3,USD
ZYW/5.5 Sfil,Star filter without fixed ring For ZYW,Sparepart-vacuum-cleaner,"1,068,000","1,495,200",2,,,STL,ZYW/5.5 Sfil,60,USD
AF-56B3,Dry floor nozzle-old type with wheels,Sparepart-vacuum-cleaner,"19,580","27,412",2,,,BYN,AF-56B3,1.1,USD
JP-1400,Ride-on sweeperwith Gel Battery and charger with Roof,sweeper,"64,736","90,630",2,,,JPET,JP-1400,23.12,RMB
JH2100A,RIDE ON SWEEPER HIGH SPEC,sweeper,"91,670","128,338",2,,,LESP,JH2100A,5.15,USD
SJ530C,FLOOR SCRUBBER (CABLE) 55LTR,sweeper,"11,570,000","16,198,000",2,,,LESP,SJ530C,650,USD
D-10E,CLEANING CART WITH COVER/MOP HOLD/TAIL BOARD,trolley-housekeeping-cart,"406,000","568,400",2,,,CB,D-10E,145,RMB
AF08071-ST,60LWringer with two buckets-metal frame-Side press,trolley-housekeeping-cart,"364,900","510,860",2,,,BYN,AF08071,20.5,USD
AS30,"30L Wet & dry vacuum cleaner  (S.S. tank)(220V 1000W) with Ametek motor, yellow cable",vacuum-cleaner,"1,190,000","1,666,000",2,packing Size: 410 X 410 X 780mm; function: wet and dry; capacity: 30L; power: 1000W; voltage: 220V-240V/50/60Hz; tank diameter: 345mm; mode of cooling: circulating air cooling; air flow rate: 53L/S; vacuum suction: 210mbar; hose diameter: 40mm; colour: yellow,,CB,CH30N,425,RMB
D-11D,Cleaning cart with wringer buckets,trolley-housekeeping-cart,"1,162,000","1,626,800",2,,,CB,D-11D,415,RMB
AS602,"60L Wet & dry vacuum cleaner with indicator  (S.S. tank)(220V 2000W) with Ametek motor, yellow cable",vacuum-cleaner,"2,189,600","3,065,440",2,packing Size: 590 X 525 X 970mm; function: wet and dry; capacity: 60L; power: 2000W; voltage: 220V-240V/50/60Hz; tank diameter: 440mm; mode of cooling: circulating air cooling; air flow rate: 106L/S; vacuum suction: 250mbar; hose diameter: 40mm; colour: turquoise yellow,,CB,CH602J,782,RMB
D-025B -CB,Small Laundry Cart,trolley-housekeeping-cart,"1,204,000","1,685,600",2,,,CB,D-025B,430,RMB
AF08170C,Multifuctional cart,trolley-housekeeping-cart,"338,200","473,480",2,,,BYN,AF08170C,19,USD
AF08170D,Multifuctional cart w cover,trolley-housekeeping-cart,"623,000","872,200",2,,,BYN,AF08170D,35,USD
D-025B -ST,SMALL LAUNDRY CART,trolley-housekeeping-cart,"1,157,000","1,619,800",2,,,STL,D-025B,65,USD
AS15,15L Wet & dry vacuum cleaner   (Plastic tank)(220V 1000W) with Ametek motor  yellow cable,vacuum-cleaner,"1,061,200","1,485,680",2,packing Size: 410 X 410 X 610mm; function: wet and dry; capacity: 15L; power: 1000W; voltage: 220V-240V/50/60Hz; tank diameter: 345mm; mode of cooling: circulating air cooling; air flow rate: 48L/S; vacuum suction: 210mbar; hose diameter: 36mm; colour: turquoise yellow,,CB,CH15B,379,RMB
AS15 I,15L WET & DRY VACUUM CLEANER,vacuum-cleaner,"1,068,000","1,495,200",2,packing Size: 410 X 410 X 610mm; function: wet and dry; capacity: 15L; power: 1000W; voltage: 220V-240V/50/60Hz; tank diameter: 345mm; mode of cooling: circulating air cooling; air flow rate: 48L/S; vacuum suction: 210mbar; hose diameter: 40mm; colour: yellow,,cb,CH15N,60,USD
D-11-1C,Multipurpose Cleaning Cart   with cover,trolley-housekeeping-cart,"714,000","999,600",2,,,CB,D-11-1C,255,RMB
AS802,"80L Wet & dry vacuum cleaner with indicator  (S.S. tank)(220V 2000W) with Ametek motor, yellow cable",vacuum-cleaner,"2,248,400","3,147,760",2,packing Size: 590 X 525 X 1060mm; function: wet and dry; capacity: 80L; power: 2000W; voltage: 220V-240V/50/60Hz; tank diameter: 440mm; mode of cooling: circulating air cooling; air flow rate: 106L/S; vacuum suction: 250mbar; hose diameter: 40mm; colour: turquoise yellow,,CB,CH802J,803,RMB
AS903B,"WET/DRY VACUUM CLEANERS with indicator (90L 3000W)(220V)(Plastic tank)with Ametek motor,yellowcable",vacuum-cleaner,"2,828","3,959",2,packing Size: 590 X 510 X 950mm; function: wet and dry; capacity: 90L; power: 3000W; voltage: 220V-240V/50/60Hz; tank diameter: 440mm; mode of cooling: circulating air cooling; air flow rate: 106L/S; vacuum suction: 250mbar; hose diameter: 40mm; colour: turquoise yellow,,CB,CH903B,1.01,RMB
APS15,"15L Wet & dry vacuum cleaner  (S.S. tank)(220V 1000W)   with Italy motor,yellowcable",vacuum-cleaner,"826,000","1,156,400",2,packing Size: 410 X 410 X 595mm; function: wet and dry; capacity: 15L; power: 1000W; voltage: 220V-240V/50/60Hz; tank diameter: 345mm; mode of cooling: circulating air cooling; air flow rate: 48L/S; vacuum suction: 250mbar; hose diameter: 36mm,,CB,CB15,295,RMB
APS30,"30L Wet & dry vacuum cleaner  (S.S. tank)(220V 1000W)   with Italy motor,yellowcable",vacuum-cleaner,"854,000","1,195,600",2,Packing size: 847x335x215mm; Function: Dry; Air flow: 48L/S; Dust volume: 5.5L; Rolling brush motor power: 200W; Rolling speed: 2000W; Noise: 80dB; Vacuum suction: 190mbar; Voltage: 220VAC/50Hz; Suction motor power: 1200W,,CB,CB30,305,RMB
